BatsMan,OutNotOut,Runs,Balls,Fours,Sixes,SR,Match_ID,Match_Between,Position,Team
Sadeera Samarawickrama,Out,108,89,11,2,121.34,ODI # 4665,Pakistan vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,1,3,0,0,33.33,ODI # 4665,Pakistan vs Sri Lanka,5,Sri Lanka
Dhananjaya de Silva,Out,25,34,3,0,73.52,ODI # 4665,Pakistan vs Sri Lanka,6,Sri Lanka
Dasun Shanaka,Out,12,18,0,0,66.66,ODI # 4665,Pakistan vs Sri Lanka,7,Sri Lanka
Dunith Wellalage,Out,10,8,1,0,125.00,ODI # 4665,Pakistan vs Sri Lanka,8,Sri Lanka
Maheesh Theekshana,Out,0,4,0,0,0.00,ODI # 4665,Pakistan vs Sri Lanka,9,Sri Lanka
Matheesha Pathirana,Not Out,1,3,0,0,33.33,ODI # 4665,Pakistan vs Sri Lanka,10,Sri Lanka
Abdullah Shafique,Out,113,103,10,3,109.70,ODI # 4665,Pakistan vs Sri Lanka,1,Pakistan
Imam-ul-Haq,Out,12,12,1,0,100.00,ODI # 4665,Pakistan vs Sri Lanka,2,Pakistan
Babar Azam,Out,10,15,1,0,66.66,ODI # 4665,Pakistan vs Sri Lanka,3,Pakistan
Mohammad Rizwan,Not Out,131,121,8,3,108.26,ODI # 4665,Pakistan vs Sri Lanka,4,Pakistan
Saud Shakeel,Out,31,30,2,0,103.33,ODI # 4665,Pakistan vs Sri Lanka,5,Pakistan
Iftikhar Ahmed,Not Out,22,10,4,0,220.00,ODI # 4665,Pakistan vs Sri Lanka,6,Pakistan
Jonny Bairstow,Out,52,59,8,0,88.13,ODI # 4664,Bangladesh vs England,1,England
Dawid Malan,Out,140,107,16,5,130.84,ODI # 4664,Bangladesh vs England,2,England
Joe Root,Out,82,68,8,1,120.58,ODI # 4664,Bangladesh vs England,3,England
Jos Buttler,Out,20,10,1,1,200.00,ODI # 4664,Bangladesh vs England,4,England
Harry Brook,Out,20,15,3,0,133.33,ODI # 4664,Bangladesh vs England,5,England
Liam Livingstone,Out,0,1,0,0,0.00,ODI # 4664,Bangladesh vs England,6,England
Sam Curran,Out,11,15,1,0,73.33,ODI # 4664,Bangladesh vs England,7,England
Chris Woakes,Out,14,11,2,0,127.27,ODI # 4664,Bangladesh vs England,8,England
Adil Rashid,Out,11,7,1,0,157.14,ODI # 4664,Bangladesh vs England,9,England
Mark Wood,Not Out,6,5,1,0,120.00,ODI # 4664,Bangladesh vs England,10,England
Reece Topley,Not Out,1,2,0,0,50.00,ODI # 4664,Bangladesh vs England,11,England
Litton Das,Out,76,66,7,2,115.15,ODI # 4664,Bangladesh vs England,1,Bangladesh
Tanzid Hasan,Out,1,2,0,0,50.00,ODI # 4664,Bangladesh vs England,2,Bangladesh
Najmul Hossain Shanto,Out,0,1,0,0,0.00,ODI # 4664,Bangladesh vs England,3,Bangladesh
Shakib Al Hasan,Out,1,9,0,0,11.11,ODI # 4664,Bangladesh vs England,4,Bangladesh
Mehidy Hasan Miraz,Out,8,7,1,0,114.28,ODI # 4664,Bangladesh vs England,5,Bangladesh
Mushfiqur Rahim,Out,51,64,4,0,79.68,ODI # 4664,Bangladesh vs England,6,Bangladesh
Towhid Hridoy,Out,39,61,2,0,63.93,ODI # 4664,Bangladesh vs England,7,Bangladesh
Mahedi Hasan,Out,14,32,1,0,43.75,ODI # 4664,Bangladesh vs England,8,Bangladesh
Taskin Ahmed,Out,15,25,0,1,60.00,ODI # 4664,Bangladesh vs England,9,Bangladesh
Shoriful Islam,Out,12,14,2,0,85.71,ODI # 4664,Bangladesh vs England,10,Bangladesh
Mustafizur Rahman,Not Out,3,9,0,0,33.33,ODI # 4664,Bangladesh vs England,11,Bangladesh
Devon Conway,Out,32,40,5,1,80.00,ODI # 4663,Netherlands vs New Zealand,1,New Zealand
Will Young,Out,70,80,7,2,87.50,ODI # 4663,Netherlands vs New Zealand,2,New Zealand
Rachin Ravindra,Out,51,51,3,1,100.00,ODI # 4663,Netherlands vs New Zealand,3,New Zealand
Daryl Mitchell,Out,48,47,5,2,102.12,ODI # 4663,Netherlands vs New Zealand,4,New Zealand
Tom Latham,Out,53,46,6,1,115.21,ODI # 4663,Netherlands vs New Zealand,5,New Zealand
Glenn Phillips,Out,4,4,1,0,100.00,ODI # 4663,Netherlands vs New Zealand,6,New Zealand
Mark Chapman,Out,5,13,0,0,38.46,ODI # 4663,Netherlands vs New Zealand,7,New Zealand
Mitchell Santner,Not Out,36,17,3,2,211.76,ODI # 4663,Netherlands vs New Zealand,8,New Zealand
Matt Henry,Not Out,10,4,0,1,250.00,ODI # 4663,Netherlands vs New Zealand,9,New Zealand
Vikramjit Singh,Out,12,20,1,0,60.00,ODI # 4663,Netherlands vs New Zealand,1,Netherlands
Max O'Dowd,Out,16,31,2,0,51.61,ODI # 4663,Netherlands vs New Zealand,2,Netherlands
Colin Ackermann,Out,69,73,5,0,94.52,ODI # 4663,Netherlands vs New Zealand,3,Netherlands
Bas de Leede,Out,18,25,3,0,72.00,ODI # 4663,Netherlands vs New Zealand,4,Netherlands
Teja Nidamanuru,Out,21,26,2,1,80.76,ODI # 4663,Netherlands vs New Zealand,5,Netherlands
Scott Edwards,Out,30,27,2,1,111.11,ODI # 4663,Netherlands vs New Zealand,6,Netherlands
Sybrand Engelbrecht,Out,29,34,3,0,85.29,ODI # 4663,Netherlands vs New Zealand,7,Netherlands
Roelof van der Merwe,Out,1,6,0,0,16.66,ODI # 4663,Netherlands vs New Zealand,8,Netherlands
Ryan Klein,Out,8,15,0,0,53.33,ODI # 4663,Netherlands vs New Zealand,9,Netherlands
Aryan Dutt,Out,11,20,0,1,55.00,ODI # 4663,Netherlands vs New Zealand,10,Netherlands
Paul van Meekeren,Not Out,4,3,1,0,133.33,ODI # 4663,Netherlands vs New Zealand,11,Netherlands
David Warner,Out,41,52,6,0,78.84,ODI # 4662,India vs Australia,1,Australia
Mitchell Marsh,Out,0,6,0,0,0.00,ODI # 4662,India vs Australia,2,Australia
Steven Smith,Out,46,71,5,0,64.78,ODI # 4662,India vs Australia,3,Australia
Marnus Labuschagne,Out,27,41,1,0,65.85,ODI # 4662,India vs Australia,4,Australia
Glenn Maxwell,Out,15,25,1,0,60.00,ODI # 4662,India vs Australia,5,Australia
Alex Carey,Out,0,2,0,0,0.00,ODI # 4662,India vs Australia,6,Australia
Cameron Green,Out,8,20,0,0,40.00,ODI # 4662,India vs Australia,7,Australia
Pat Cummins,Out,15,24,1,1,62.50,ODI # 4662,India vs Australia,8,Australia
Mitchell Starc,Out,28,35,2,1,80.00,ODI # 4662,India vs Australia,9,Australia
Adam Zampa,Out,6,20,0,0,30.00,ODI # 4662,India vs Australia,10,Australia
Josh Hazlewood,Not Out,1,1,0,0,100.00,ODI # 4662,India vs Australia,11,Australia
Rohit Sharma,Out,0,6,0,0,0.00,ODI # 4662,India vs Australia,1,India
Ishan Kishan,Out,0,1,0,0,0.00,ODI # 4662,India vs Australia,2,India
Virat Kohli,Out,85,116,6,0,73.27,ODI # 4662,India vs Australia,3,India
Shreyas Iyer,Out,0,3,0,0,0.00,ODI # 4662,India vs Australia,4,India
KL Rahul,Not Out,97,115,8,2,84.34,ODI # 4662,India vs Australia,5,India
Hardik Pandya,Not Out,11,8,0,1,137.50,ODI # 4662,India vs Australia,6,India
Quinton de Kock,Out,100,84,12,3,119.04,ODI # 4661,South Africa vs Sri Lanka,1,South Africa
Temba Bavuma,Out,8,5,2,0,160.00,ODI # 4661,South Africa vs Sri Lanka,2,South Africa
Rassie van der Dussen,Out,108,110,13,2,98.18,ODI # 4661,South Africa vs Sri Lanka,3,South Africa
Aiden Markram,Out,106,54,14,3,196.29,ODI # 4661,South Africa vs Sri Lanka,4,South Africa
Heinrich Klaasen,Out,32,20,1,3,160.00,ODI # 4661,South Africa vs Sri Lanka,5,South Africa
David Miller,Not Out,39,21,3,2,185.71,ODI # 4661,South Africa vs Sri Lanka,6,South Africa
Marco Jansen,Not Out,12,7,0,1,171.42,ODI # 4661,South Africa vs Sri Lanka,7,South Africa
Pathum Nissanka,Out,0,3,0,0,0.00,ODI # 4661,South Africa vs Sri Lanka,1,Sri Lanka
Kusal Perera,Out,7,15,1,0,46.66,ODI # 4661,South Africa vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,76,42,4,8,180.95,ODI # 4661,South Africa vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Out,23,19,3,1,121.05,ODI # 4661,South Africa vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,79,65,8,4,121.53,ODI # 4661,South Africa vs Sri Lanka,5,Sri Lanka
Dhananjaya de Silva,Out,11,14,1,0,78.57,ODI # 4661,South Africa vs Sri Lanka,6,Sri Lanka
Dasun Shanaka,Out,68,62,6,3,109.67,ODI # 4661,South Africa vs Sri Lanka,7,Sri Lanka
Dunith Wellalage,Out,0,1,0,0,0.00,ODI # 4661,South Africa vs Sri Lanka,8,Sri Lanka
Kasun Rajitha,Out,33,31,4,1,106.45,ODI # 4661,South Africa vs Sri Lanka,9,Sri Lanka
Matheesha Pathirana,Out,5,16,1,0,31.25,ODI # 4661,South Africa vs Sri Lanka,10,Sri Lanka
Dilshan Madushanka,Not Out,4,2,1,0,200.00,ODI # 4661,South Africa vs Sri Lanka,11,Sri Lanka
Rahmanullah Gurbaz,Out,47,62,4,1,75.80,ODI # 4660,Afghanistan vs Bangladesh,1,Afghanistan
Ibrahim Zadran,Out,22,25,3,1,88.00,ODI # 4660,Afghanistan vs Bangladesh,2,Afghanistan
Rahmat Shah,Out,18,25,1,0,72.00,ODI # 4660,Afghanistan vs Bangladesh,3,Afghanistan
Hashmatullah Shahidi,Out,18,38,2,0,47.36,ODI # 4660,Afghanistan vs Bangladesh,4,Afghanistan
Najibullah Zadran,Out,5,13,0,0,38.46,ODI # 4660,Afghanistan vs Bangladesh,5,Afghanistan
Mohammad Nabi,Out,6,12,0,0,50.00,ODI # 4660,Afghanistan vs Bangladesh,6,Afghanistan
Azmatullah Omarzai,Out,22,20,4,0,110.00,ODI # 4660,Afghanistan vs Bangladesh,7,Afghanistan
Rashid Khan,Out,9,16,1,0,56.25,ODI # 4660,Afghanistan vs Bangladesh,8,Afghanistan
Mujeeb Ur Rahman,Out,1,4,0,0,25.00,ODI # 4660,Afghanistan vs Bangladesh,9,Afghanistan
Naveen-ul-Haq,Out,0,6,0,0,0.00,ODI # 4660,Afghanistan vs Bangladesh,10,Afghanistan
Fazalhaq Farooqi,Not Out,0,3,0,0,0.00,ODI # 4660,Afghanistan vs Bangladesh,11,Afghanistan
Tanzid Hasan,Out,5,13,1,0,38.46,ODI # 4660,Afghanistan vs Bangladesh,1,Bangladesh
Litton Das,Out,13,18,2,0,72.22,ODI # 4660,Afghanistan vs Bangladesh,2,Bangladesh
Mehidy Hasan Miraz,Out,57,73,5,0,78.08,ODI # 4660,Afghanistan vs Bangladesh,3,Bangladesh
Najmul Hossain Shanto,Not Out,59,83,3,1,71.08,ODI # 4660,Afghanistan vs Bangladesh,4,Bangladesh
Shakib Al Hasan,Out,14,19,2,0,73.68,ODI # 4660,Afghanistan vs Bangladesh,5,Bangladesh
Mushfiqur Rahim,Not Out,2,3,0,0,66.66,ODI # 4660,Afghanistan vs Bangladesh,6,Bangladesh
Fakhar Zaman,Out,12,15,3,0,80.00,ODI # 4659,Netherlands vs Pakistan,1,Pakistan
Imam-ul-Haq,Out,15,19,2,0,78.94,ODI # 4659,Netherlands vs Pakistan,2,Pakistan
Babar Azam,Out,5,18,0,0,27.77,ODI # 4659,Netherlands vs Pakistan,3,Pakistan
Mohammad Rizwan,Out,68,75,8,0,90.66,ODI # 4659,Netherlands vs Pakistan,4,Pakistan
Saud Shakeel,Out,68,52,9,1,130.76,ODI # 4659,Netherlands vs Pakistan,5,Pakistan
Iftikhar Ahmed,Out,9,11,1,0,81.81,ODI # 4659,Netherlands vs Pakistan,6,Pakistan
Mohammad Nawaz,Out,39,43,4,0,90.69,ODI # 4659,Netherlands vs Pakistan,7,Pakistan
Shadab Khan,Out,32,34,2,1,94.11,ODI # 4659,Netherlands vs Pakistan,8,Pakistan
Hasan Ali,Out,0,1,0,0,0.00,ODI # 4659,Netherlands vs Pakistan,9,Pakistan
Shaheen Shah Afridi,Not Out,13,12,2,0,108.33,ODI # 4659,Netherlands vs Pakistan,10,Pakistan
Haris Rauf,Out,16,14,2,1,114.28,ODI # 4659,Netherlands vs Pakistan,11,Pakistan
Vikramjit Singh,Out,52,67,4,1,77.61,ODI # 4659,Netherlands vs Pakistan,1,Netherlands
Max O'Dowd,Out,5,12,1,0,41.66,ODI # 4659,Netherlands vs Pakistan,2,Netherlands
Colin Ackermann,Out,17,21,3,0,80.95,ODI # 4659,Netherlands vs Pakistan,3,Netherlands
Bas de Leede,Out,67,68,6,2,98.52,ODI # 4659,Netherlands vs Pakistan,4,Netherlands
Teja Nidamanuru,Out,5,9,1,0,55.55,ODI # 4659,Netherlands vs Pakistan,5,Netherlands
Scott Edwards,Out,0,2,0,0,0.00,ODI # 4659,Netherlands vs Pakistan,6,Netherlands
Saqib Zulfiqar,Out,10,18,1,0,55.55,ODI # 4659,Netherlands vs Pakistan,7,Netherlands
Roelof van der Merwe,Out,4,7,0,0,57.14,ODI # 4659,Netherlands vs Pakistan,8,Netherlands
Logan van Beek,Not Out,28,28,3,1,100.00,ODI # 4659,Netherlands vs Pakistan,9,Netherlands
Aryan Dutt,Out,1,2,0,0,50.00,ODI # 4659,Netherlands vs Pakistan,10,Netherlands
Paul van Meekeren,Out,7,12,1,0,58.33,ODI # 4659,Netherlands vs Pakistan,11,Netherlands
Jonny Bairstow,Out,33,35,4,1,94.28,ODI # 4658,England vs New Zealand,1,England
Dawid Malan,Out,14,24,2,0,58.33,ODI # 4658,England vs New Zealand,2,England
Joe Root,Out,77,86,4,1,89.53,ODI # 4658,England vs New Zealand,3,England
Harry Brook,Out,25,16,4,1,156.25,ODI # 4658,England vs New Zealand,4,England
Moeen Ali,Out,11,17,1,0,64.70,ODI # 4658,England vs New Zealand,5,England
Jos Buttler,Out,43,42,2,2,102.38,ODI # 4658,England vs New Zealand,6,England
Liam Livingstone,Out,20,22,3,0,90.90,ODI # 4658,England vs New Zealand,7,England
Sam Curran,Out,14,19,0,0,73.68,ODI # 4658,England vs New Zealand,8,England
Chris Woakes,Out,11,12,1,0,91.66,ODI # 4658,England vs New Zealand,9,England
Adil Rashid,Not Out,15,13,0,1,115.38,ODI # 4658,England vs New Zealand,10,England
Mark Wood,Not Out,13,14,0,0,92.85,ODI # 4658,England vs New Zealand,11,England
Devon Conway,Not Out,152,121,19,3,125.61,ODI # 4658,England vs New Zealand,1,New Zealand
Will Young,Out,0,1,0,0,0.00,ODI # 4658,England vs New Zealand,2,New Zealand
Rachin Ravindra,Not Out,123,96,11,5,128.12,ODI # 4658,England vs New Zealand,3,New Zealand
